Scrub_Title,Scrub_URL,End_Date,Number_Prizes,Scrub_Description,Entry_Limit,Eligibility,Scrub_URL_1,Rules_URL,Page_Title,Entry_Link,Meta_Description,Meta_Keywords,Extracted_Date,Entry_Image,Tags,short_summary,long_description,image_alt,end_date_norm,extracted_date_norm,end_date_epoch,extracted_date_epoch,llm_processed,exported,last_seen_run_id,llm_version,llm_hash
NERDWALLET DEBT FREE DECEMBER SWEEPSTAKES,https://thefreebieguy.com/sweepstakes/nerdwallet-debt-free-december-sweepstakes/,46015,25,"Want more? See our lists of Sweepstakes & Instant Win Games


            25 CHANCES TO WIN $100K!

            NOTE: Entries do rollover to subsequent Daily Drawings.
PRIZES -

 	(25) PRIZES: Each Prize consists of a cash award of one hundred thousand dollars (USD $100,000). Total ARV of all Prizes available in this Sweepstakes is $2,500,000 USD.



ENTRY – One Time Entry
ENDING – December 24, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – U.S. & D.C. Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,U.S. & D.C. Only. 18+,https://nerdwallet-debtfreedecemberamoe.prod.fooji.com/,https://images.prod.fooji.com/original/organizations/339/campaigns/3367/published/rule-8bfbd67c-9037-47c8-b228-debb7ee58038-c90a23a.pdf,For the Love of Fans - Powered by Fooji,https://nerdwallet-debtfreedecemberamoe.prod.fooji.com/,,,46006,https://images.prod.fooji.com/original/preview_image.webp,,,,,12/23/2025,12/14/2025,1766534400000,1765756800000,,,20251217-115719,,
Real Rewards Season of Wins Sweepstakes and Instant Win Game! 305 WINNERS!!,https://thefreebieguy.com/sweepstakes/real-rewards-season-of-wins-sweepstakes-and-instant-win-game-305-winners/,46022,305,"Want more? See our lists of Sweepstakes & Instant Win Games


            305 WINNERS NEEDED!!

            PRIZES -

 	1 Grand Prize: A $10,000 check. ARV: $10,000.00
 	4 First Prizes: A $5,000 check. ARV: $5,000.00

INSTANT WIN PRIZES -

 	75 Second Prizes: A $100 American Eagle eGift Card
 	100 Third Prizes: A $50 American Eagle eGift Card
 	125 Fourth Prizes: A $25 American Eagle eGift Card



ENTRY – Daily Entry
ENDING – December 31, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA & D.C. Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,USA & D.C. Only. 18+,https://www.seasonofwinssweepstakes.com/login,https://synchrony.promo.eprize.com/seasonofwins/public/fulfillment/rules.pdf,Real Rewards Season of Wins Sweepstakes,https://www.seasonofwinssweepstakes.com/login,"NO PURCH. NEC. 50 U.S. (DC&PR), 18+. Ends 12/31/25. See Rules. ‘Tis the season for chances to win! Play daily for chances to win an American Eagle eGift Card instantly and you could even win a sweepstakes prize up to $10,000!",,46006,https://eprize-content.s3.us-east-1.amazonaws.com/synchrony/262448_synchrony_seasonofwins/socialshare.png,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
Countdown To Christmas Movie Game Sweepstakes – 12 Winners!,https://thefreebieguy.com/sweepstakes/countdown-to-christmas-movie-game-sweepstakes-12-winners/,46020,,"Want more? See our lists of Sweepstakes & Instant Win Games


            Every week someone wins $1,000 + a holiday-themed Spoonful of Comfort gift bundle. 11 total winners.

            (1) Grand Prize -

 	
Winner receives $20,000 cash (by check) + a $250 Spoonful of Comfort gift card


Week 1
– ARV $1,239.99

 	
$1,000 cash

 	
Spoonful of Comfort Ultimate Holiday Soup Package


Week 2 – ARV $1,104.99

 	
$1,000 cash

 	
Spoonful of Comfort Holiday Classic Soup Package


Week 3 – ARV $1,164.99

 	
$1,000 cash

 	
Spoonful of Comfort Holiday Soup & Mugs Package


Week 4 – ARV $1,149.99

 	
$1,000 cash

 	
Spoonful of Comfort Pieces of Joy Soup & Puzzle Package


Week 5 – ARV $1,194.99

 	
$1,000 cash

 	
Spoonful of Comfort Holiday Double Dinner Package


Week 6 – ARV $1,124.99

 	
$1,000 cash

 	
Spoonful of Comfort Festive Kitchen Soup & Scents Package


Week 7 – ARV $1,069.99

 	
$1,000 cash

 	
Spoonful of Comfort Cookies & Cocoa for Two Package


Week 8 – ARV $1,239.99

 	
$1,000 cash

 	
Spoonful of Comfort Ultimate Holiday Soup Package


Week 9 – ARV $1,194.99

 	
$1,000 cash

 	
Spoonful of Comfort Holiday Double Dinner Package


Week 10 – ARV $1,159.99

 	
$1,000 cash

 	
Spoonful of Comfort Cozy Comfort & Joy Package


Week 11 – ARV $1,099.99

 	
$1,000 cash

 	Spoonful of Comfort Build-Your-Own Care Package 



ENTRY – Daily Entry
ENDING – December 29, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA + DC, 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,"USA + DC, 18+",https://christmasmoviegame.hallmarkchannel.com/,https://christmasmoviegame.hallmarkchannel.com/rules,Hallmark Channel's Countdown to Christmas Movie Game,https://christmasmoviegame.hallmarkchannel.com/,"Play, watch and share with friends! You could win the grand prize of $20,000 or a $1,000 weekly cash prize",,46006,https://cdn.si-hallmark.com/moviegame2024/sharing/OG.webp,,,,,12/28/2025,12/14/2025,1766966400000,1765756800000,,,20251217-115719,,
Wicked: For Good Cocktails Straight from Oz Instant Win Game,https://thefreebieguy.com/sweepstakes/wicked-for-good-cocktails-straight-from-oz-instant-win-game/,46038,5000,"Want more? See our lists of Sweepstakes & Instant Win Games


            Enter to win FREE Movie Tickets & more!

            PRIZES -

 	(3,000) winners will each receive a $15 Fandango Promo Code
 	(1,500) winners will each receive a $30 Code good towards the purchase of 2 movie tickets ($15 per ticket, up to $30 total ticket price and associated fees and charges) to see Wicked: For Good at Fandango partner theaters
 	(500) winners will each receive a $25 eGift Card at select merchants (AMC, Regal or Cinemark)



ENTRY – Daily Entry
ENDING – January 16, 2026 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – U.S. & D.C. 21+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,U.S. & D.C. 21+,https://www.absolut.com/en-us/wicked/,https://cocktailsfromoz.entertowinprizes.com/official_rules,"Absolut x Wicked For Good: Two extraordinary forces, joining up for good - Absolut Vodka",https://www.absolut.com/en-us/wicked/,Celebrate Wicked with instant prizes & a limited-edition bottle—before it vanishes! Sip on a magical cocktail straight from Oz.,,46006,,,,,,01/15/2026,12/14/2025,1768521600000,1765756800000,,,20251217-115719,,
"$2,500 Grocery Gift Card Giveaway!",https://thefreebieguy.com/sweepstakes/2500-grocery-gift-card-giveaway/,46022,2,"Want more? See our lists of Sweepstakes & Instant Win Games


            2 winners get a $2,500 gift card!

            PRIZES -

 	 (2) Grand Prize each including a $2,500 Visa Gift Card.



ENTRY – One Time Entry
ENDING – December 31, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA Only (No AK or HI.) 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,USA Only (No AK or HI.) 18+,https://reckitt.jebbit.com/3vnehmcx,https://www.lysol.com/cobranded-giveaway/?utm_campaign=lysol-co-branded-giveaway-nov2025,"SAVINGS START HERE. A $2,500 GROCERY GIFT COULD BE YOURS!",https://reckitt.jebbit.com/3vnehmcx,"You could win one of two $2,500 grocery gift cards.",,46006,https://i.jebbit.com/images/yhSfCWd9/business-images/d0mLao8RsyskyRhWKJNj_Reckitt_HyHo_coBranded_Campaign2025_JebbitExperience_Intro_Desktop_2.jpg,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
Win A Year of Free Guacamole from Wholly Guacamole! EVERYONE WINS!!!,https://thefreebieguy.com/sweepstakes/wholly-guacamole-sweepstakes/,45992,,"Want more? See our lists of Sweepstakes & Instant Win Games


            Win a free coupon for guacamole instantly! Keep your eyes peeled for an email from Wholly Guacamole in December to see if you won the grand prize!

            PRIZES -

 	One (1) Grand Prize Winner will receive a Cooler, a Tumbler Cup, a Pop-up Table with Chairs, Team Blanket, Team Merch, an a Year Supply of WHOLLY GUACAMOLE (provided as 24 Free Guacamole coupons).
 	Instant Winners get coupons!



ENTRY – One Time Entry
ENDING – December 1, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,USA Only. 18+,https://web.witcontests.com/iuhoosiers/giveaway/spin/indiana-wholly-guacamole-251016,https://web.witcontests.com/iuhoosiers/giveaway/spin/indiana-wholly-guacamole-251016.,You could win a Tailguacing prize pack or FREE WHOLLY® GUACAMOLE - Indiana University Bloomington × WHOLLY® GUACAMOLE,https://web.witcontests.com/iuhoosiers/giveaway/spin/indiana-wholly-guacamole-251016,,,46006,"https://web.witcontests.com/cdn-img/width=854,quality=80/https://s3.amazonaws.com/wit-challenge-assets-prod/share-images/163-2cdf0146-eaa4-4f2c-b385-7bf8680bc4c4.png",,,,,11/30/2025,12/14/2025,1764547200000,1765756800000,,,20251217-115719,,
"Heluva Good! Game-Breaking Giveaway — Win a Year of Dip, a Signed Helmet, 75” TV & More!",https://thefreebieguy.com/sweepstakes/helluva-good-game-breaking-giveaway/,46019,,"Want more? See our lists of Sweepstakes & Instant Win Games


            Win a free coupon for guacamole instantly! Keep your eyes peeled for an email from Wholly Guacamole in December to see if you won the grand prize!

            PRIZES -

 	One (1) Grand Prize Winner will receive a Cooler, a Tumbler Cup, a Pop-up Table with Chairs, Team Blanket, Team Merch, an a Year Supply of WHOLLY GUACAMOLE (provided as 24 Free Guacamole coupons).
 	Instant Winners get coupons!



ENTRY – One Time Entry
ENDING – December 1, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,USA Only. 18+,https://gamebreakingdips.com/,https://gamebreakingdips.com/rules.pdf,Heluva Good!® Dip Game Breaking Plays Sweepstakes,https://gamebreakingdips.com/,Heluva Good!® Dip Game Breaking Plays Sweepstakes,,46006,https://gamebreakingdips.com.com/img/Thumbnail.png,,,,,12/27/2025,12/14/2025,1766880000000,1765756800000,,,20251217-115719,,
"The Stella Artois 2025 Personalized Custom Instant Win Game! 1,500 Winners!",https://thefreebieguy.com/sweepstakes/the-stella-artois-2025-personalized-custom-instant-win-game-1500-winners/,46022,1500,"Want more? See our lists of Sweepstakes & Instant Win Games


            1,500 winners score a personalized chalice, instantly!

            PRIZES -

 	(1,500 prizes to be awarded; 125 prizes per Play Period):  One promotional code which may be redeemed at Stellasignature.com/Stellaholidaychalice to purchase one personalized Stella Artois chalice. Approximate Retail Value is $40.00.



ENTRY – Daily Entry
ENDING – December 31, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA & D.C. Only. 21+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,USA & D.C. Only. 21+,https://www.stellaartois.com/Stellaholidaychalice,https://www.stellaartois.com/stellaholidayrules,Chalice,https://www.stellaartois.com/Stellaholidaychalice,,,46006,"https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=100 100w, https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=200 200w, https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=400 400w, https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=800 800w, https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=1200 1200w, https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=1600 1600w, https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=2000 2000w, https://cdn.builder.io/api/v1/image/assets%2Fcbbec0a153654c18ad41d632a0f7425d%2F5b5e1e66314f45f889bdc4b0aaaafe44?width=435 435w",,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
Avon’s Monthly Beauty Sweepstakes,https://thefreebieguy.com/sweepstakes/avons-monthly-beauty-sweepstakes/,46007,4,"Want more? See our lists of Sweepstakes & Instant Win Games


            4 WINNERS! WIN A BEAUTY PRIZE PACKAGE!

            PRIZES -

 	(4) PRIZES: winners will each receive One Wild Country for Her Eau de Parfum Decanter, One Wild Country Cologne Decanter, One LYRD Aurora Snowfall Candle, One Beyond Glow Niacinamide 10% + Panthenol Serum, One Beyond Glow Niacinamide 10% All-In-One Cream, One Isa Knox Anew Clinical Line Eraser with Retinol Treatment, One Isa Knox Anew Clinical Revitalize & Reveal Resurfacing Lotion for Body, One Anew Ultimate Supreme Dual Elixir, One fmg Glimmer Liquid Eyeshadow in Fool’s Gold, One fmg Glimmer Be Blushed Cheek Color in Crushed Berry, One fmg Glimmer Liquid Color Eyeliner Pen in Chestnut, One fmg Glimmer SuperExtend Nourishing Mascara in Black, One GO. by Glimmer Lacquered Lip Gel in Seeing Red, One Skin So Soft Nostalgia Collection Soft & Sensual Shower Gel, One Skin So Soft Soft & Sensual Gelled Body Oil, One Skin So Soft Soft & Sensual Body Lotion, One Sunset Gemstone Drop Earrings, One Sunset Gemstone Drop Bracelet, One (1) Sunset Gemstone Drop Stretch Ring, One Ceramic Minimalist Angels, One Wild Country Aftershave Splash, One Far Away Perfumed Skin Softener. (ARV: $546) (Total ARV: $2,184)



ENTRY – One Time Entry
ENDING – December 16, 2025 11:59 pm

ELIGIBILITY – U.S. & D.C. Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,U.S. & D.C. Only. 18+,https://www.avon.com/sweepstakes/sun-sand-and-glam-sweepstakes,https://www.avon.com/sweepstakes/timeless-beauty-sweepstakes,Avon's Monthly Beauty Sweepstakes: Enter Now!,https://www.avon.com/sweepstakes/timeless-beauty-sweepstakes,"Enter Avon's monthly sweepstakes! This giveaway changes every month but can include our best-selling makeup, skin care, and bath & body products.","Avon's Monthly Beauty Sweepstakes: Enter Now!. Avon, Avon store, Avon online, Avon website, Avon, Avon.com",46006,https://www.avon.com/assets/sweepstakes/ba8d3740-5678-4b93-8d85-1c9140a69266.jpg,,,,,12/15/2025,12/14/2025,1765843200000,1765756800000,,,20251217-115719,,
Cracker Barrel Rewards Merry Match Sweepstakes & Instant Win Game – OVER 1 MILLION PRIZES!!,https://thefreebieguy.com/sweepstakes/cracker-barrel-rewards-merry-match-sweepstakes-instant-win-game-over-1-million-prizes/,46022,1160703,"Want more? See our lists of Sweepstakes & Instant Win Games


            OVER 1 MILLION PRIZES!!

            PRIZES -

 	1 Grand Prize: A Cracker Barrel-themed room makeover, awarded as a $5,000 check; Pancakes for a Year and a $250 Cracker Barrel Old Country Store gift card. “Pancakes for a Year” awarded as multiple Cracker Barrel Old Country Store gift cards totaling $350 that can be used to provide 1 side of two pancakes for 1 person ($6 average per visit) each week over the course of 52 weeks. Approximate Retail Value: $5,600.00
 	1 Second Prize: Pancakes for a Year and a $250 Cracker Barrel Old Country Store gift card. Pancakes for a Year awarded as multiple Cracker Barrel Old Country Store gift cards totaling $350 that can be used to provide 1 side of two pancakes for 1 person ($6 average per visit) each week over the course of 52 weeks. ARV: $600.00
 	1 Third Prize: 1 $250 Cracker Barrel Old Country Store gift card. ARV: $250.00.

INSTANT WIN PRIZES -

 	200 $25 Gift Card Prizes: 1 $25 Cracker Barrel gift card. ARV: $25.
 	500 $10 Gift Card Prizes: 1 $10 Cracker Barrel gift card. ARV: $10.
 	100,000 Ornament Offers: $1.00 off any ornament.
 	100,000 Shareables Offers: 1 free Shareable with a dine-in purchase of $40 or more (exclusive of alcohol, taxes and gratuity) in a single transaction.
 	100,000 Retail Discount Offers: $5 off any retail purchase of $25 or more (exclusive of taxes) in a single transaction at the Old Country Store.
 	100,000 Dining Discount Offers: 15% off of your total check (exclusive of alcohol, taxes and gratuity) when you spend $35 or more while dining-in.
 	100,000 French Toast Offers: Buy 1 order of Cinnamon Swirl French Toast or Momma’s French Toast, receive a second order for free.
 	20,000 25-Peg Offers
 	50,000 10-Peg Offers
 	250,000 5-Peg Offers
 	340,000 1-Peg Offers



ENTRY – Daily Entry
ENDING – December 31, 2025 11:59 pm
OFFICIAL RULES – Click Here

ELIGIBILITY – USA & D.C. Only. 18+ (19+ in AL & NE.)
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,USA & D.C. Only. 18+ (19+ in AL & NE.),https://crackerbarrel-bonusgame8.shared-a.apollo.prod.aws.eprize.net/oamoe,https://crackerbarrel.promo.eprize.com/bonusgame8/public/fulfillment/rules.pdf,Cracker Barrel Rewards,https://crackerbarrel-bonusgame8.shared-a.apollo.prod.aws.eprize.net/oamoe,"NO PURCH NEC. Rewards members 18+/19+ AL & NE. Ends 12/31/25. See Rules for details.  Dash back daily for chances to win $5,000 to decorate a room and instant prizes!",,46006,https://eprize-content.s3.us-east-1.amazonaws.com/crackerbarrel/261976_bonusgame8/261976_social_share.png,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
Wild Mike’s Ultimate Pizza Ultimate Game Day Giveaway,https://thefreebieguy.com/sweepstakes/wild-mikes-ultimate-pizza-ultimate-game-day-giveaway/,46047,26,"Want more? See our lists of Sweepstakes & Instant Win Games


            26 WINNERS! WIN A PIZZA PARTY OR COUPONS!

            PRIZES -

 	(1) GRAND PRIZE: The Ultimate Pizza Party is valued at $10,000. The Wild Mike’s Ultimate Pizza Trailer will be driven to a mutually agreed-upon location in the entrant’s vicinity by the Wild Mike’s Ultimate Pizza team members. Entrant and up to 300 guests will be served Wild Mike’s Ultimate Pizza products and beverages. Travel costs will not be covered for the entrant or any guests. Location will depend on the safe navigability of the Wild Mike’s Ultimate Pizza Trailer and legality of hosting a public event of a food-sampling nature. The Pizza Trailer requires an 80-foot by 30-foot footprint on a concrete or asphalt surface. Wild Mike’s Ultimate Pizza and its agents reserve the right to accept alternative surfaces according to the driver’s judgment.
 	(25) RUNNER-UP PRIZES: Twenty-five Runner-Up Prize winners will each receive two coupons (each good for one free Wild Mike’s Ultimate Pizza product), and a foam football displaying Wild Mike’s Ultimate Pizza’s logo, valued at $31.57.



ENTRY – One Time Entry
ENDING – January 25, 2026 12:00 pm

ELIGIBILITY – U.S. & D.C. (Void in AK & HI) Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,U.S. & D.C. (Void in AK & HI) Only. 18+,https://gleam.io/Vl8Hm/the-ultimate-game-day-giveaway-,https://gleam.io/Vl8Hm/the-ultimate-game-day-giveaway-,The Ultimate Game Day Giveaway 🚚🍕,https://gleam.io/Vl8Hm/the-ultimate-game-day-giveaway-,,,46006,https://gleam.io/assets/open-graph-win-282e5390c25f1d140388d457d87bd10e7fb9084f06622e1628c170fdbc09268e.png,,,,,01/24/2026,12/14/2025,1769299200000,1765756800000,,,20251217-115719,,
Coca Cola & Sodexo Holiday Magic Match Sweepstakes,https://thefreebieguy.com/sweepstakes/coca-cola-sodexo-holiday-magic-match-sweepstakes/,46022,9,"Want more? See our lists of Sweepstakes & Instant Win Games


            Enter daily to win up to $5,000 CASH!

            PRIZES -

 	(1) GRAND PRIZE: winner will receive a $5,000 awarded as a digital payment.
 	(2) FIRST PRIZES: winners will each receive a $1,000 awarded as a digital payment.
 	(6) SECOND PRIZES: winners will each receive a $500 awarded as a digital payment.



ENTRY – Daily Entry
ENDING – December 31, 2025 11:59 pm

ELIGIBILITY – U.S. & D.C. Only. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,U.S. & D.C. Only. 18+,https://holidaymagicmatch.com/index,https://holidaymagicmatch.com/index,The Sodexo Holiday Magic Match Sweepstakes,https://holidaymagicmatch.com/index,,,46006,https://dja.nyc3.cdn.digitaloceanspaces.com/11-2991-33/sodexo-holiday-2025-share-3.jpg,,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
The “KitchenAid Room to Host” Sweepstakes,https://thefreebieguy.com/sweepstakes/the-kitchenaid-room-to-host-sweepstakes/,46012,11,"Want more? See our lists of Sweepstakes & Instant Win Games


            11 WINNERS! WIN KITCHENAID APPLIANCES & MORE!

            PRIZES -

 	(1) GRAND PRIZE: One Grand Prize Winner will receive a KitchenAid suite of appliances including [range, microwave hood combination, dishwasher, refrigerator]; and ($1,000.00 USD) spending cash. The ARV of the Grand Prize is ($17,000.00 USD, including the appliances and $1,000 spending cash).
 	(10) FIRST PRIZES: Ten First Prize Winners will each receive One Thousand Dollars spending cash. The ARV of each First Prize is ($1,000.00 USD).



ENTRY – One Time Entry
ENDING – December 21, 2025 11:59 pm

ELIGIBILITY – U.S. & D.C. (Void in FL & NY) Only. 21+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",One Time Entry,U.S. & D.C. (Void in FL & NY) Only. 21+,https://www.kitchenaid.com/room-to-host.html,https://www.kitchenaid.com/room-to-host.html,Room To Host | KitchenAid,https://www.kitchenaid.com/room-to-host.html,"Enter for a chance to win a full suite of new KitchenAid major appliances or a $1,000 Gather Grant.",,46006,,,,,,12/20/2025,12/14/2025,1766275200000,1765756800000,,,20251217-115719,,
Martin’s Famous Potato Rolls & Bread “A Very Merry Martin’s” Giveaway,https://thefreebieguy.com/sweepstakes/martins-famous-potato-rolls-bread-a-very-merry-martins-giveaway/,46022,3,"Want more? See our lists of Sweepstakes & Instant Win Games


            3 WINNERS! WIN A HOLIDAY PRIZE PACK!

            NOTE:

 	Submission period 1: Monday, November 3, 2025 Noon ET – Friday, November 21, 2025 9:00 am ET
 	Submission period 2: Friday, November 21, 2025 Noon ET – Thursday, December 11, 2025 9:00 am ET
 	Submission period 3: Thursday, December 11, 2025 Noon ET – Wednesday, December 31, 2025 9:00 am ET

PRIZES -

 	SUBMISSION PERIOD 1 PRIZE: $200 Visa gift card, Le Creuset Dutch Oven, Martin’s Cutting Board, Martin’s Apron, Martin’s Oven Mitt, Two Packs Sweet Dinner, and Two Packs Sweet Party. ARV = $575
 	SUBMISSION PERIOD 2 PRIZE: $200 Visa gift card, Nepresso Machine + Frother, Nepresso Coffee Pods Variety Pack, Martin’s Mug, Martin’s Apron, Martin’s Oven Mitt, Two Packs Sweet Dinner, and Two Packs Sweet Party. ARV = $465
 	SUBMISSION PERIOD 3 PRIZE: $200 Visa gift card, Ninja Twisti Blender Duo, Pyrex Set, Martin’s Lunch Box, Martin’s Apron, Martin’s Oven Mitt, Two Packs Sweet Dinner, and Two Packs Sweet Party. ARV = $445



ENTRY – Daily Entry
ENDING – December 31, 2025 9:00 am
OFFICIAL RULES – Click Here

ELIGIBILITY – U.S. & D.C. (Void in AK & HI) Only. 21+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,U.S. & D.C. (Void in AK & HI) Only. 21+,https://www.verymerrymartins.com/,https://potatorolls.com/giveaway-rules/,Home | VeryMerryMartins,https://www.verymerrymartins.com/,"Martin’s wants to make sure each holiday meal this season is Very Merry, which is why we’re giving you 12 opportunities to win free Martin’s products!",,46006,"https://static.wixstatic.com/media/f9b035_cc3926abe3c94ea1b4fb71a490f94ac6~mv2.png/v1/fill/w_1920,h_960,al_c/f9b035_cc3926abe3c94ea1b4fb71a490f94ac6~mv2.png",,,,,12/30/2025,12/14/2025,1767139200000,1765756800000,,,20251217-115719,,
Snickers NFL & Circle K Sweepstakes,https://thefreebieguy.com/sweepstakes/snickers-nfl-circle-k-sweepstakes/,46021,122,"Want more? See our lists of Sweepstakes & Instant Win Games


            Enter to win a $50 NFL shop gift card & more!

            PRIZES -

 	(100) winners will each receive a $50 NFL Shop gift card
 	(15) winners will each receive a DeVonta Smith Autographed football
 	(5) winners will each receive a DeVonta Smith Autographed jersey
 	(2) winners will each receive a $3,500 check made payable to the winner



ENTRY – Daily Entry
ENDING – December 30, 2025 11:59 pm

ELIGIBILITY – U.S. & D.C. 18+
ENTER HERE






<br />
     (adsbygoogle = window.adsbygoogle || []).push({<br />
  		overlays:{bottom:true}<br />
  });<br />


Disclosure: There may be some affiliate links on this site and I may receive commissions for purchases made through
links in this post, but these are all products I recommend.",Daily Entry,U.S. & D.C. 18+,https://www.snickersfootball25.com/enter,https://www.snickersfootball25.com/enter,https://www.snickersfootball25.com/enter,https://www.snickersfootball25.com/enter,,,46006,,,,,,12/29/2025,12/14/2025,1767052800000,1765756800000,,,20251217-115719,,
